,hhid,year,femaleh,hhsize,f0t6,m0t6,f7t12,m7t12,f13t15,f16t18,f19t60,m13t15,m16t18,m19t60,f61,m61,rural,posttreatment,ptreat,Primary,Junior secondary,Senior secondary,Higher,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Sumatra,Java and Bali,Kalimantan,Sulawesi,%work10t12,%work13t15,%work16t18,%work10t18_x,Childlabour_x,%work10t18_y,Childlabour_y
0,120116002905.0,2005,0,10,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.1,0.2,0.0,0.0,1,0.0,0.27565327,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
1,120116002915.0,2005,0,7,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.5714286,0.0,0.0,0.14285715,0.0,0.0,1,0.0,0.34807822,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.25,1
2,120116002916.0,2005,0,6,0.0,0.0,0.0,0.33333334,0.16666667,0.16666667,0.16666667,0.0,0.0,0.16666667,0.0,0.0,1,0.0,0.44852757,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.16666667,0.16666667,1,0.0,0
3,120205003701.0,2005,0,5,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.4,0.0,0.0,0,0.0,0.26965806,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.2,0.2,1,0.2,1
4,120205003703.0,2005,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.6666667,0.0,0.0,0,0.0,0.0609533,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
5,120205003704.0,2005,0,7,0.2857143,0.14285715,0.14285715,0.14285715,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.0,0.0,0,0.0,0.019957844,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
6,120205003705.0,2005,0,6,0.0,0.0,0.0,0.16666667,0.0,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.16666667,0,0.0,0.12331569,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.33333334,0.33333334,1,0.0,0
7,120205003709.0,2005,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.33333334,0,0.0,0.06756428,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
8,120205003710.0,2005,0,7,0.0,0.14285715,0.2857143,0.0,0.0,0.0,0.2857143,0.0,0.0,0.14285715,0.14285715,0.0,0,0.0,0.18517949,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
9,120205003713.0,2005,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.33333334,0.0,0,0.0,0.1617115,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
10,120205003714.0,2005,0,4,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0,0.0,0.14921401,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.25,0.25,1,0.0,0
11,120205003715.0,2005,0,4,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0.0,0.12913671,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
12,120301105002.0,2005,0,5,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,1,0.0,0.19081378,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
13,120301105007.0,2005,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,0.0,0.42228198,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
14,120301105008.0,2005,0,4,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1,0.0,0.3060145,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
15,120301105012.0,2005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.20769927,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
16,120301105014.0,2005,0,7,0.2857143,0.14285715,0.14285715,0.0,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.14285715,0.0,1,0.0,0.25471425,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
17,120311007701.0,2005,1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.36340162,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.5,0.5,1,0.0,0
18,120311007703.0,2005,0,6,0.16666667,0.0,0.0,0.5,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,1,0.0,0.17321658,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
19,120311007705.0,2005,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,1,0.0,0.29479966,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.2,0.0,0.2,1,0.0,0
20,120311007706.0,2005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.50783706,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
21,120311007707.0,2005,0,7,0.0,0.0,0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.0,0.14285715,0.2857143,0.0,0.0,1,0.0,0.27048773,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.2857143,0.2857143,1,0.0,0
22,120311007711.0,2005,1,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.43512538,0,1,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
23,120311007714.0,2005,0,6,0.0,0.16666667,0.0,0.0,0.0,0.0,0.33333334,0.0,0.16666667,0.33333334,0.0,0.0,1,0.0,0.21771613,0,1,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.16666667,0.16666667,1,0.0,0
